date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,86.38,86.88,85.56,85.81,14.1171,75200.0,0.0,1.0
1998-01-05,85.81,88.0,85.81,87.06,14.3227,106000.0,0.0,1.0
1998-01-06,87.06,87.88,86.81,86.88,14.2931,95400.0,0.0,1.0
1998-01-07,86.63,87.63,86.13,87.0,14.3129,105900.0,0.0,1.0
1998-01-08,87.25,87.31,86.0,86.38,14.2109,99200.0,0.0,1.0
1998-01-09,86.38,86.38,84.38,85.0,13.9838,143300.0,0.0,1.0
1998-01-12,84.75,86.56,84.44,86.19,14.1796,179900.0,0.0,1.0
1998-01-13,86.38,87.88,86.13,86.94,14.303,202900.0,0.0,1.0
1998-01-14,86.0,86.0,84.75,85.63,14.1549,390100.0,0.41,1.0
1998-01-15,85.75,85.75,85.25,85.31,14.102,96100.0,0.0,1.0
1998-01-16,85.63,85.75,85.06,85.13,14.0723,82100.0,0.0,1.0
1998-01-20,84.88,85.5,84.63,85.31,14.102,69700.0,0.0,1.0
1998-01-21,85.06,85.63,83.75,84.63,13.9896,67600.0,0.0,1.0
1998-01-22,83.56,87.56,83.56,85.75,14.1748,157200.0,0.0,1.0
1998-01-23,85.69,86.38,84.13,84.5,13.9681,68800.0,0.0,1.0
1998-01-26,84.63,87.81,84.63,87.0,14.3814,220900.0,0.0,1.0
1998-01-27,87.5,88.31,86.5,86.75,14.3401,111900.0,0.0,1.0
1998-01-28,87.0,88.0,84.94,85.06,14.0607,213000.0,0.0,1.0
1998-01-29,85.25,87.0,85.25,85.38,14.1136,415100.0,0.0,1.0
1998-01-30,85.44,86.94,84.88,86.63,14.3202,90300.0,0.0,1.0
1998-02-02,87.5,89.06,87.5,88.44,14.6194,204300.0,0.0,1.0
1998-02-03,88.19,88.56,88.0,88.38,14.6095,145100.0,0.0,1.0
1998-02-04,88.38,88.44,87.0,87.44,14.4541,251000.0,0.0,1.0
1998-02-05,87.5,88.06,86.88,87.44,14.4541,123700.0,0.0,1.0
1998-02-06,87.69,88.38,87.56,87.88,14.5269,60900.0,0.0,1.0
1998-02-09,88.13,88.5,88.0,88.5,14.6293,122000.0,0.0,1.0
1998-02-10,88.31,89.63,88.31,89.0,14.712,160500.0,0.0,1.0
1998-02-11,89.0,89.0,87.69,87.75,14.5054,55400.0,0.0,1.0
1998-02-12,87.75,88.38,87.06,87.56,14.474,128100.0,0.0,1.0
1998-02-13,87.81,88.06,87.75,87.94,14.5368,127500.0,0.0,1.0
1998-02-17,88.19,88.81,87.94,88.75,14.6707,92400.0,0.0,1.0
1998-02-18,89.0,89.5,88.75,88.88,14.6922,125500.0,0.0,1.0
1998-02-19,88.88,88.88,86.44,87.5,14.464,177000.0,0.0,1.0
1998-02-20,87.5,88.31,86.0,86.63,14.3202,145000.0,0.0,1.0
1998-02-23,87.0,87.06,86.0,86.25,14.2574,141400.0,0.0,1.0
1998-02-24,86.38,86.5,85.13,85.81,14.1847,149500.0,0.0,1.0
1998-02-25,85.75,88.0,85.0,85.5,14.1334,426700.0,0.0,1.0
1998-02-26,86.0,86.25,85.44,85.69,14.1648,192800.0,0.0,1.0
1998-02-27,85.81,87.25,84.5,87.25,14.4227,225200.0,0.0,1.0
1998-03-02,86.63,86.88,86.0,86.0,14.2161,136600.0,0.0,1.0
1998-03-03,85.81,85.81,84.88,85.38,14.1136,157500.0,0.0,1.0
1998-03-04,85.5,87.38,85.5,86.88,14.3616,88000.0,0.0,1.0
1998-03-05,88.0,89.44,86.38,86.88,14.3616,228100.0,0.0,1.0
1998-03-06,87.0,88.44,87.0,88.06,14.5566,177000.0,0.0,1.0
1998-03-09,88.25,88.5,87.0,87.31,14.4326,159700.0,0.0,1.0
1998-03-10,87.5,87.81,86.94,87.75,14.5054,135600.0,0.0,1.0
1998-03-11,87.5,88.25,87.38,88.13,14.5682,205600.0,0.0,1.0
1998-03-12,88.13,88.19,87.25,87.81,14.5153,73400.0,0.0,1.0
1998-03-13,88.0,88.0,87.38,87.63,14.4855,262100.0,0.0,1.0
1998-03-16,87.88,89.06,87.88,88.38,14.6095,74300.0,0.0,1.0
1998-03-17,88.63,90.63,88.56,90.5,14.96,196500.0,0.0,1.0
1998-03-18,90.25,90.88,89.25,89.5,14.7947,145900.0,0.0,1.0
1998-03-19,89.88,91.5,89.81,91.31,15.0939,161700.0,0.0,1.0
1998-03-20,91.31,91.31,90.38,90.81,15.0112,150100.0,0.0,1.0
1998-03-23,90.25,90.5,88.38,89.06,14.7219,167000.0,0.0,1.0
1998-03-24,89.13,89.38,87.31,89.38,14.7748,217800.0,0.0,1.0
1998-03-25,89.0,89.0,87.56,88.06,14.5566,147900.0,0.0,1.0
1998-03-26,87.88,88.44,87.25,88.19,14.5781,85400.0,0.0,1.0
1998-03-27,88.81,88.81,85.75,86.06,14.226,209200.0,0.0,1.0
